nruDensity_nodes_per_m2,runId,nru_throughput_Mbps,nru_delay_ms,wifi_throughput_Mbps,wifi_delay_ms,nru_nodes,wifi_nodes
1e-4,0,5.09694,2.35435,7.47765,1.60478,107,94
1e-4,1,4.34647,2.76086,8.40913,1.42702,104,103
1e-4,2,4.77515,2.51301,7.72706,1.55298,94,107
1e-4,3,5.87531,2.04244,6.91973,1.73417,93,99
1e-4,4,4.69644,2.55513,8.01427,1.49733,97,93
1e-4,5,3.88591,3.08808,7.49106,1.60191,106,101
1e-4,6,4.61527,2.60006,7.60265,1.5784,109,101
1e-4,7,4.54385,2.64093,7.56823,1.58558,108,108
1e-4,8,6.55518,1.83061,7.28638,1.64691,96,92
1e-4,9,5.36741,2.23571,7.35727,1.63104,98,101
1.5e-4,0,4.51569,2.6574,6.57027,1.82641,158,94
1.5e-4,1,4.34168,2.76391,5.66651,2.11771,155,103
1.5e-4,2,4.05594,2.95862,6.71693,1.78653,143,107
1.5e-4,3,4.20364,2.85467,7.19429,1.66799,142,99
1.5e-4,4,4.33991,2.76503,6.38454,1.87954,146,93
1.5e-4,5,3.68429,3.25707,6.90193,1.73864,157,101
1.5e-4,6,4.58008,2.62004,6.97819,1.71964,140,101
1.5e-4,7,3.83552,3.12865,6.5537,1.83103,160,108
1.5e-4,8,5.01823,2.39128,6.9604,1.72404,145,92
1.5e-4,9,4.41751,2.71646,6.74965,1.77787,148,101
2e-4,0,3.60654,3.32729,5.75424,2.08542,209,94
2e-4,1,3.43962,3.48876,6.33629,1.89385,206,103
2e-4,2,3.16139,3.7958,6.53939,1.83503,192,107
2e-4,3,4.07926,2.94171,5.15931,2.32589,191,99
2e-4,4,3.52903,3.40037,6.03047,1.9899,196,93
2e-4,5,3.51059,3.41823,6.30561,1.90307,208,101
2e-4,6,3.99885,3.00087,6.23578,1.92438,189,101
2e-4,7,3.21715,3.73001,6.4273,1.86704,211,108
2e-4,8,4.16055,2.88423,6.43791,1.86396,195,92
2e-4,9,3.48129,3.447,5.98286,2.00573,197,101
2.5e-4,0,2.92841,4.09778,6.3779,1.8815,259,94
2.5e-4,1,3.16158,3.79558,5.53265,2.16894,256,103
2.5e-4,2,3.26205,3.67867,4.95561,2.4215,241,107
2.5e-4,3,3.78617,3.16943,4.52527,2.65178,240,99
2.5e-4,4,3.20791,3.74075,6.54662,1.83301,245,93
2.5e-4,5,3.37213,3.55858,4.95378,2.42239,259,101
2.5e-4,6,3.44883,3.47944,5.69235,2.10809,238,101
2.5e-4,7,3.08671,3.88764,6.02893,1.9904,262,108
2.5e-4,8,3.4897,3.4387,6.23319,1.92518,244,92
2.5e-4,9,3.08907,3.88467,6.11573,1.96215,247,101
3e-4,0,3.05702,3.92539,4.9337,2.43225,310,94
