nruDataRate_Mbps,runId,nru_throughput_Mbps,nru_delay_ms,wifi_throughput_Mbps,wifi_delay_ms,nru_nodes,wifi_nodes
40,0,3.57881,3.35307,7.22618,1.66063,107,94
40,1,3.07886,3.89754,8.15929,1.47072,104,103
40,2,2.9183,4.11199,7.63786,1.57112,94,107
40,3,3.77082,3.18233,6.88675,1.74248,93,99
40,4,2.98786,4.01626,7.66855,1.56483,97,93
40,5,3.00806,3.98928,6.78673,1.76816,106,101
40,6,2.96807,4.04303,7.58609,1.58184,109,101
40,7,3.05533,3.92756,7.3149,1.64049,108,108
40,8,4.35997,2.75231,7.1527,1.67769,96,92
40,9,3.58496,3.34732,7.33285,1.63647,98,101
50,0,3.84268,3.12282,7.59676,1.57962,107,94
50,1,3.38477,3.54529,8.31716,1.4428,104,103
50,2,3.23932,3.70448,7.85667,1.52736,94,107
50,3,4.28284,2.80188,6.95631,1.72505,93,99
50,4,3.62189,3.31319,7.83028,1.53251,97,93
50,5,3.26735,3.6727,7.0679,1.69782,106,101
50,6,3.44282,3.48552,7.39039,1.62373,109,101
50,7,3.39129,3.53847,7.40327,1.62091,108,108
50,8,5.07839,2.36295,7.12342,1.68459,96,92
50,9,3.88623,3.08782,7.39383,1.62297,98,101
60,0,4.16299,2.88254,7.4463,1.61154,107,94
60,1,3.71319,3.23172,8.33587,1.43956,104,103
60,2,3.61618,3.31842,7.87654,1.52351,94,107
60,3,4.77064,2.51539,6.82162,1.75911,93,99
60,4,3.8685,3.10197,7.79184,1.54007,97,93
60,5,3.51479,3.41414,7.19268,1.66836,106,101
60,6,3.78401,3.17124,7.42608,1.61593,109,101
60,7,3.71966,3.2261,7.57361,1.58445,108,108
60,8,5.18337,2.3151,7.43931,1.61305,96,92
60,9,4.60371,2.6066,7.32725,1.63772,98,101
70,0,4.66315,2.57337,7.28162,1.64798,107,94
70,1,3.86029,3.10857,8.66592,1.38474,104,103
70,2,4.14519,2.89492,7.65826,1.56694,94,107
70,3,4.94441,2.42699,7.01069,1.71167,93,99
70,4,4.1778,2.87233,7.91808,1.51552,97,93
70,5,3.76711,3.18547,7.12032,1.68532,106,101
70,6,4.081,2.94045,7.41056,1.61931,109,101
70,7,3.99821,3.00134,7.522,1.59532,108,108
70,8,5.70894,2.10197,7.48866,1.60242,96,92
70,9,4.56214,2.63035,7.4415,1.61258,98,101
80,0,5.06432,2.36952,7.43435,1.61413,107,94
80,1,4.19409,2.86117,8.47016,1.41674,104,103
80,2,4.12874,2.90646,7.92524,1.51415,94,107
80,3,5.35659,2.24023,7.02548,1.70807,93,99
80,4,4.39228,2.73206,7.70994,1.55643,97,93
80,5,3.81213,3.14785,7.37948,1.62613,106,101
80,6,4.34993,2.75866,7.59118,1.58078,109,101
80,7,4.12934,2.90603,7.66229,1.56611,108,108
80,8,5.79214,2.07177,7.66523,1.56551,96,92
80,9,4.98321,2.40809,7.39461,1.6228,98,101
90,0,5.2554,2.28337,7.34183,1.63447,107,94
90,1,4.53495,2.64612,8.35687,1.43594,104,103
90,2,4.51688,2.6567,7.7141,1.55559,94,107
90,3,5.56066,2.15802,7.09531,1.69126,93,99
90,4,4.74988,2.52638,7.76693,1.54501,97,93
90,5,4.24912,2.82412,7.35991,1.63045,106,101
90,6,4.43571,2.70532,7.69877,1.55869,109,101
90,7,4.35084,2.75809,7.80864,1.53676,108,108
90,8,6.24569,1.92133,7.63187,1.57235,96,92
90,9,5.00539,2.39742,7.57232,1.58472,98,101
100,0,5.14547,2.33215,7.55489,1.58837,107,94
100,1,4.51674,2.65678,8.70928,1.37784,104,103
100,2,4.67992,2.56415,7.59742,1.57948,94,107
100,3,5.85322,2.05015,7.02444,1.70832,93,99
100,4,4.91445,2.44178,7.85538,1.52762,97,93
100,5,4.33596,2.76755,7.22037,1.66197,106,101
100,6,4.58739,2.61587,7.5832,1.58244,109,101
100,7,4.54082,2.6427,7.78218,1.54198,108,108
100,8,6.74222,1.77983,7.63339,1.57204,96,92
100,9,5.55131,2.16165,7.3853,1.62485,98,101
110,0,5.63445,2.12976,7.26151,1.65255,107,94
110,1,4.63542,2.58876,8.59977,1.39539,104,103
110,2,4.94536,2.42652,7.74058,1.55027,94,107
110,3,6.03965,1.98687,7.04675,1.70291,93,99
110,4,5.05682,2.37303,7.95386,1.5087,97,93
110,5,4.60927,2.60345,7.2009,1.66646,106,101
110,6,4.76325,2.51929,7.71797,1.55481,109,101
110,7,4.71667,2.54417,7.85887,1.52694,108,108
110,8,6.71477,1.78711,7.70641,1.55715,96,92
110,9,5.62305,2.13407,7.48842,1.60247,98,101
120,0,5.81131,2.06494,7.41452,1.61845,107,94
120,1,4.76468,2.51853,8.56625,1.40085,104,103
120,2,4.90953,2.44423,7.76743,1.54491,94,107
120,3,6.1862,1.9398,6.93276,1.73091,93,99
120,4,5.22049,2.29863,8.10657,1.48028,97,93
120,5,4.69155,2.55779,7.19188,1.66855,106,101
120,6,4.8419,2.47836,7.61385,1.57607,109,101
120,7,4.71803,2.54344,7.90435,1.51815,108,108
120,8,7.07112,1.69704,7.64122,1.57043,96,92
120,9,5.82422,2.06036,7.48064,1.60414,98,101
