nruSenseDist_m,runId,nru_throughput_Mbps,nru_delay_ms,wifi_throughput_Mbps,wifi_delay_ms,nru_nodes,wifi_nodes
90,0,7.33955,1.63498,6.83596,1.75542,107,94
90,1,7.52793,1.59406,7.06671,1.6981,104,103
90,2,6.95471,1.72545,6.85627,1.75022,94,107
90,3,8.45038,1.42006,6.14301,1.95344,93,99
90,4,7.03175,1.70654,6.51539,1.84179,97,93
90,5,6.97844,1.71958,6.15998,1.94806,106,101
90,6,6.51008,1.84329,6.91488,1.73539,109,101
90,7,6.48143,1.85144,6.74265,1.77971,108,108
90,8,9.96038,1.20477,6.21186,1.93179,96,92
90,9,7.37285,1.62759,6.78668,1.76817,98,101
100,0,5.14547,2.33215,7.55489,1.58837,107,94
100,1,4.51674,2.65678,8.70928,1.37784,104,103
100,2,4.67992,2.56415,7.59742,1.57948,94,107
100,3,5.85322,2.05015,7.02444,1.70832,93,99
100,4,4.91445,2.44178,7.85538,1.52762,97,93
100,5,4.33596,2.76755,7.22037,1.66197,106,101
100,6,4.58739,2.61587,7.5832,1.58244,109,101
100,7,4.54082,2.6427,7.78218,1.54198,108,108
100,8,6.74222,1.77983,7.63339,1.57204,96,92
100,9,5.55131,2.16165,7.3853,1.62485,98,101
110,0,3.71309,3.23181,8.34208,1.43849,107,94
110,1,2.95458,4.0615,9.00449,1.33267,104,103
110,2,3.32879,3.60492,8.4466,1.42069,94,107
110,3,4.58022,2.61996,7.60376,1.57817,93,99
110,4,3.22745,3.7181,9.44679,1.27027,97,93
110,5,2.96465,4.04769,7.99502,1.50093,106,101
110,6,2.80565,4.27708,8.57225,1.39987,109,101
110,7,2.59308,4.62769,8.70415,1.37865,108,108
110,8,4.1152,2.91602,8.71821,1.37643,96,92
110,9,3.06335,3.91728,7.94839,1.50974,98,101
120,0,2.56919,4.67074,8.95865,1.33949,107,94
120,1,1.99302,6.02101,9.6865,1.23884,104,103
120,2,2.25103,5.3309,8.81463,1.36137,94,107
120,3,3.26436,3.67607,8.28218,1.44889,93,99
120,4,2.05904,5.82797,10.0369,1.19559,97,93
120,5,1.93234,6.2101,8.86024,1.35437,106,101
120,6,2.07426,5.78519,8.80112,1.36346,109,101
120,7,1.70905,7.02145,9.29932,1.29042,108,108
120,8,3.03383,3.9554,9.14795,1.31177,96,92
120,9,2.45375,4.89047,8.17016,1.46876,98,101
130,0,1.45311,8.25812,9.5857,1.25187,107,94
130,1,1.3346,8.99146,9.95408,1.20554,104,103
130,2,1.54583,7.76283,9.28719,1.2921,94,107
130,3,2.60039,4.61468,8.4945,1.41268,93,99
130,4,1.28006,9.37457,10.3573,1.15861,97,93
130,5,1.2701,9.4481,9.41938,1.27397,106,101
130,6,1.418,8.4626,9.07939,1.32168,109,101
130,7,0.999569,12.0052,10.0865,1.18971,108,108
130,8,2.09474,5.72862,9.531,1.25905,96,92
130,9,1.77414,6.76386,8.6078,1.39408,98,101
140,0,0.909098,13.1999,9.96597,1.2041,107,94
140,1,0.7046,17.0309,10.5035,1.14248,104,103
140,2,1.0298,11.6528,9.57693,1.25301,94,107
140,3,1.56893,7.64854,8.80131,1.36343,93,99
140,4,1.07041,11.2107,10.4925,1.14368,97,93
140,5,0.871698,13.7662,9.72854,1.23348,106,101
140,6,1.07202,11.1938,9.35823,1.28229,109,101
140,7,0.64093,18.7228,10.1293,1.18469,108,108
140,8,1.29916,9.23675,9.79991,1.2245,96,92
140,9,1.44222,8.32048,8.95541,1.33997,98,101
150,0,0.63868,18.7887,10.239,1.17199,107,94
150,1,0.363438,33.018,10.6475,1.12703,104,103
150,2,0.799227,15.0145,9.75847,1.2297,94,107
150,3,0.898828,13.3507,9.11708,1.31621,93,99
150,4,0.793949,15.1143,10.5677,1.13554,97,93
150,5,0.718198,16.7085,9.86248,1.21673,106,101
150,6,0.623816,19.2364,9.58885,1.25145,109,101
150,7,0.334512,35.8731,10.6073,1.1313,108,108
150,8,0.857653,13.9917,10.2091,1.17543,96,92
150,9,0.852945,14.0689,8.95439,1.34012,98,101
160,0,0.360206,33.3143,10.3101,1.16391,107,94
160,1,0.1881,63.7957,11.0245,1.08848,104,103
160,2,0.591767,20.2782,9.71087,1.23573,94,107
160,3,0.358025,33.5172,9.41232,1.27492,93,99
160,4,0.516735,23.2227,10.8815,1.10279,97,93
160,5,0.540947,22.1833,9.99424,1.20069,106,101
160,6,0.281475,42.6325,9.6596,1.24229,109,101
160,7,0.266984,44.9465,10.4429,1.14911,108,108
160,8,0.547117,21.9331,10.37,1.15718,96,92
160,9,0.580108,20.6858,9.13785,1.31322,98,101
