nruDensity_nodes_per_m2,runId,nru_throughput_Mbps,nru_delay_ms,wifi_throughput_Mbps,wifi_delay_ms,nru_nodes,wifi_nodes
1e-4,0,5.25034,2.28557,7.15727,1.67662,107,94
1e-4,1,4.61838,2.59832,8.24869,1.45478,104,103
1e-4,2,4.43898,2.70332,7.7689,1.54462,94,107
1e-4,3,5.72005,2.09788,6.88346,1.74331,93,99
1e-4,4,4.82308,2.48804,7.77145,1.54411,97,93
1e-4,5,4.04805,2.96439,7.36047,1.63033,106,101
1e-4,6,4.51677,2.65676,7.63238,1.57225,109,101
1e-4,7,4.65467,2.57806,7.34542,1.63367,108,108
1e-4,8,6.41429,1.87082,7.34233,1.63436,96,92
1e-4,9,5.23202,2.29357,7.22718,1.6604,98,101
1.5e-4,0,4.68502,2.56135,6.20188,1.9349,158,94
1.5e-4,1,4.2073,2.85219,5.80986,2.06545,155,103
1.5e-4,2,4.02229,2.98338,6.51548,1.84177,143,107
1.5e-4,3,4.19833,2.85828,7.00665,1.71266,142,99
1.5e-4,4,4.21322,2.84818,6.23331,1.92514,146,93
1.5e-4,5,3.67533,3.26502,6.72221,1.78513,157,101
1.5e-4,6,4.58676,2.61622,6.69408,1.79263,140,101
1.5e-4,7,3.64162,3.29524,6.3817,1.88038,160,108
1.5e-4,8,4.99737,2.40126,6.52102,1.8402,145,92
1.5e-4,9,4.34475,2.76195,6.50226,1.84551,148,101
2e-4,0,3.77462,3.17913,5.25379,2.28407,209,94
2e-4,1,3.55985,3.37093,5.99907,2.00031,206,103
2e-4,2,3.12768,3.83671,6.53344,1.8367,192,107
2e-4,3,4.09391,2.93118,5.08925,2.35791,191,99
2e-4,4,3.46248,3.46572,5.63505,2.12953,196,93
2e-4,5,3.4105,3.51855,6.13933,1.95461,208,101
2e-4,6,3.84263,3.12286,6.27329,1.91287,189,101
2e-4,7,3.17375,3.78102,6.43048,1.86611,211,108
2e-4,8,4.1169,2.91482,6.32603,1.89692,195,92
2e-4,9,3.52433,3.4049,5.68287,2.11161,197,101
2.5e-4,0,2.97719,4.03064,5.91343,2.02928,259,94
2.5e-4,1,3.16595,3.79034,5.3549,2.24094,256,103
2.5e-4,2,3.09039,3.88301,5.30389,2.26249,241,107
2.5e-4,3,3.65236,3.28555,4.42496,2.71189,240,99
2.5e-4,4,2.95901,4.05541,6.54467,1.83355,245,93
2.5e-4,5,3.30317,3.63287,4.79408,2.50309,259,101
2.5e-4,6,3.26309,3.6775,5.56643,2.15578,238,101
2.5e-4,7,3.20538,3.74371,5.55036,2.16202,262,108
2.5e-4,8,3.52343,3.40577,5.95275,2.01587,244,92
2.5e-4,9,3.03432,3.95476,6.04386,1.98548,247,101
3e-4,0,3.09157,3.88153,4.49263,2.67104,310,94
3e-4,1,3.00973,3.98707,4.84722,2.47565,307,103
3e-4,2,2.84047,4.22465,4.99567,2.40208,290,107
3e-4,3,2.73745,4.38364,5.81363,2.06411,289,99
3e-4,4,2.81234,4.26691,5.0465,2.37788,295,93
3e-4,5,3.12567,3.83917,4.18523,2.86722,310,101
3e-4,6,2.94139,4.07971,5.10981,2.34842,287,101
3e-4,7,2.73989,4.37974,5.54694,2.16336,313,108
3e-4,8,3.17013,3.78533,4.67673,2.5659,294,92
3e-4,9,2.92196,4.10683,5.12858,2.33983,297,101
3.5e-4,0,2.77153,4.32974,4.68268,2.56263,361,94
3.5e-4,1,2.71909,4.41325,4.31441,2.78138,357,103
3.5e-4,2,2.54115,4.72226,4.9549,2.42184,340,107
3.5e-4,3,2.5439,4.71717,5.54632,2.1636,338,99
3.5e-4,4,2.83182,4.23756,3.69454,3.24804,345,93
3.5e-4,5,2.59806,4.61883,4.43251,2.70727,360,101
3.5e-4,6,2.79632,4.29136,4.50297,2.66491,336,101
3.5e-4,7,2.63837,4.54826,4.83771,2.48051,363,108
3.5e-4,8,2.80711,4.27486,4.30728,2.78598,344,92
3.5e-4,9,2.68961,4.46162,4.98804,2.40576,347,101
4e-4,0,2.4638,4.87053,4.43828,2.70375,411,94
4e-4,1,2.39271,5.01524,4.03007,2.97762,407,103
4e-4,2,2.38794,5.02526,4.43105,2.70816,389,107
4e-4,3,2.45741,4.8832,4.58335,2.61817,388,99
4e-4,4,2.38748,5.02623,3.93996,3.04572,395,93
4e-4,5,2.23746,5.36323,4.72372,2.54037,411,101
4e-4,6,2.54674,4.7119,4.41393,2.71866,385,101
4e-4,7,2.5198,4.76227,3.82755,3.13516,414,108
4e-4,8,2.55973,4.68799,4.33674,2.76705,393,92
4e-4,9,2.53089,4.74141,4.24318,2.82806,397,101
4.5e-4,0,2.29174,5.23621,4.11056,2.91931,462,94
4.5e-4,1,2.30901,5.19704,3.21922,3.72761,458,103
4.5e-4,2,2.26062,5.30828,4.42016,2.71484,439,107
4.5e-4,3,2.35625,5.09284,3.61076,3.3234,437,99
4.5e-4,4,2.2056,5.44069,3.91766,3.06306,444,93
4.5e-4,5,2.08243,5.76249,3.99613,3.00291,461,101
4.5e-4,6,2.26021,5.30925,4.12636,2.90813,435,101
4.5e-4,7,2.12972,5.63455,4.17333,2.8754,465,108
4.5e-4,8,2.38839,5.0243,4.14218,2.89702,443,92
4.5e-4,9,2.45957,4.8789,3.3696,3.56125,447,101
5e-4,0,2.23876,5.36011,3.39074,3.53905,513,94
5e-4,1,2.18133,5.50123,3.24326,3.69998,508,103
5e-4,2,2.09588,5.72552,4.29448,2.79428,488,107
5e-4,3,2.21037,5.42897,3.12732,3.83715,486,99
5e-4,4,2.08354,5.75944,3.29501,3.64187,494,93
5e-4,5,2.04781,5.85992,3.35646,3.5752,512,101
5e-4,6,2.10061,5.71262,3.68722,3.25449,484,101
5e-4,7,2.13151,5.62981,3.66109,3.27771,516,108
5e-4,8,2.17119,5.52692,3.91677,3.06375,493,92
5e-4,9,2.16543,5.54162,3.40061,3.52877,497,101
