arrivalRate_pkts_per_ms,runId,nru_throughput_Mbps,nru_delay_ms,wifi_throughput_Mbps,wifi_delay_ms,nru_nodes,wifi_nodes
0.1000,0,1.15988,1.02248,1.18033,0.806092,107,94
0.1000,1,1.19531,0.743583,1.16705,0.820614,104,103
0.1000,2,1.17197,1.08714,1.17608,1.08321,94,107
0.1000,3,1.1971,0.564166,1.18261,0.593595,93,99
0.1000,4,1.19253,0.643308,1.17575,1.05949,97,93
0.1000,5,1.18075,0.79948,1.17789,0.859298,106,101
0.1000,6,1.17192,1.06407,1.17752,0.921957,109,101
0.1000,7,1.17726,0.825337,1.18519,1.00876,108,108
0.1000,8,1.19732,0.476063,1.16263,1.00611,96,92
0.1000,9,1.20317,0.50917,1.18933,0.63317,98,101
0.1874,0,2.15702,1.52804,2.1699,1.4401,107,94
0.1874,1,2.15131,1.72084,2.11834,1.9866,104,103
0.1874,2,2.10505,2.0427,2.12249,2.05019,94,107
0.1874,3,2.157,1.59261,2.18654,1.11699,93,99
0.1874,4,2.17224,1.8442,2.17196,1.77648,97,93
0.1874,5,2.11624,2.61065,2.14565,2.00344,106,101
0.1874,6,2.1077,1.91485,2.13488,1.99356,109,101
0.1874,7,2.11769,2.34298,2.10796,2.4603,108,108
0.1874,8,2.20145,0.971737,2.16128,1.14894,96,92
0.1874,9,2.2098,1.36869,2.15942,1.5282,98,101
0.3511,0,3.17926,4.85622,3.50306,3.94236,107,94
0.3511,1,3.23932,4.89073,3.41595,3.84647,104,103
0.3511,2,3.31675,4.45118,3.28269,4.53774,94,107
0.3511,3,3.27363,4.75071,3.5931,3.4859,93,99
0.3511,4,3.12338,5.52888,3.36766,4.3135,97,93
0.3511,5,2.93214,6.90387,3.32724,4.47655,106,101
0.3511,6,3.18574,4.60939,3.42741,3.8014,109,101
0.3511,7,3.1515,5.1153,3.31834,4.36523,108,108
0.3511,8,3.40732,3.71763,3.71159,2.91972,96,92
0.3511,9,3.27706,4.64283,3.39453,4.43034,98,101
0.6579,0,3.7945,7.44036,4.9373,5.21121,107,94
0.6579,1,3.93125,7.47833,4.83897,5.44059,104,103
0.6579,2,3.9372,6.91741,4.60571,5.27233,94,107
0.6579,3,4.02383,7.06891,4.84527,5.54675,93,99
0.6579,4,3.9295,6.91566,4.74217,5.35514,97,93
0.6579,5,3.48219,9.18128,4.61623,5.78622,106,101
0.6579,6,3.55023,8.82684,5.03578,4.46471,109,101
0.6579,7,3.92959,7.40731,4.57737,5.3629,108,108
0.6579,8,4.20293,6.20073,5.12497,4.8111,96,92
0.6579,9,4.03534,7.26228,4.56475,5.91713,98,101
1.2328,0,4.41237,7.6932,6.26936,5.681,107,94
1.2328,1,4.20987,8.47179,6.47876,5.35518,104,103
1.2328,2,4.60067,7.82616,5.95974,5.27663,94,107
1.2328,3,4.56782,7.84731,5.91891,6.06124,93,99
1.2328,4,4.50584,7.66251,6.36237,5.15551,97,93
1.2328,5,3.75692,9.90339,6.09231,5.25349,106,101
1.2328,6,3.8813,9.25762,6.33231,5.69115,109,101
1.2328,7,4.34995,8.17622,6.13265,5.13713,108,108
1.2328,8,5.09411,6.50599,6.54684,5.17311,96,92
1.2328,9,4.50242,8.38633,5.98106,5.75185,98,101
2.3101,0,4.91515,7.01546,7.23556,5.64993,107,94
2.3101,1,4.49112,8.42094,8.04851,4.79011,104,103
2.3101,2,4.46293,8.63124,7.70545,4.57353,94,107
2.3101,3,5.53248,7.03587,6.80542,5.89778,93,99
2.3101,4,4.88496,7.94741,7.6721,4.96651,97,93
2.3101,5,4.10955,9.18152,7.039,5.48363,106,101
2.3101,6,4.37931,8.07882,7.37953,5.75252,109,101
2.3101,7,4.49168,8.13901,7.35873,4.92205,108,108
2.3101,8,5.95332,5.84231,7.32234,5.47118,96,92
2.3101,9,5.27653,7.34685,7.02889,5.73235,98,101
4.3288,0,5.20037,7.12668,7.47655,6.05506,107,94
4.3288,1,4.42917,9.05889,8.41652,5.11938,104,103
4.3288,2,4.64642,8.38263,7.78423,5.03939,94,107
4.3288,3,5.92895,6.62976,7.01145,6.20096,93,99
4.3288,4,4.87183,8.31071,7.83924,5.33587,97,93
4.3288,5,4.12533,9.72713,7.39209,5.78355,106,101
4.3288,6,4.71375,7.89756,7.55185,5.90191,109,101
4.3288,7,4.73154,8.14636,7.37873,5.39642,108,108
4.3288,8,6.49709,5.98277,7.55015,5.63783,96,92
4.3288,9,5.35529,7.50212,7.45777,5.78683,98,101
8.1113,0,5.22095,7.34708,7.41642,6.13716,107,94
8.1113,1,4.30811,9.1162,8.45442,5.21792,104,103
8.1113,2,4.88251,8.19657,7.48033,5.01941,94,107
8.1113,3,6.29454,6.56281,6.78842,6.29793,93,99
8.1113,4,4.82045,8.39196,7.72232,5.41726,97,93
8.1113,5,4.17449,9.57127,7.24316,5.91543,106,101
8.1113,6,4.71258,8.05187,7.53212,5.75618,109,101
8.1113,7,4.75696,8.0797,7.41143,5.37347,108,108
8.1113,8,6.48605,6.03054,7.4728,5.64592,96,92
